date,horizon,tbill_3m,tbill_6m,tbill_1y,tnote_2y,tnote_3y,tnote_5y,tnote_7y,tnote_10y,tnote_30y
1982-12-31,1,7.5,,,9.3,,10.0,,10.2,10.3
1982-12-31,3,7.7,,,9.5,,9.7,,10.0,10.25
1982-12-31,5,7.9,,,9.25,,9.9,,10.0,10.149999999999999
1983-03-31,1,8.0,,,,9.7,,,10.4,10.6
1983-03-31,2,7.6,,,,9.4,,,10.1,10.4
1983-03-31,3,7.5,,,,9.25,,,10.0,10.3
1983-03-31,4,8.0,,,,9.350000000000001,,,10.149999999999999,10.350000000000001
1983-03-31,5,8.0,,,,9.5,,,10.1,10.5
1983-06-30,1,8.8,,,,10.0,,,10.6,10.9
1983-06-30,2,8.6,,,,10.0,,,10.55,10.8
1983-06-30,3,8.8,,,,10.0,,,10.5,10.7
1983-06-30,4,8.8,,,,10.1,,,10.45,10.7
1983-06-30,5,8.6,,,,10.0,,,10.4,10.6
1983-09-30,1,9.0,,,,10.8,,,11.3,11.4
1983-09-30,2,8.7,,,,10.7,,,11.1,11.3
1983-09-30,3,8.8,,,,10.5,,,11.1,11.3
1983-09-30,4,9.0,,,,10.7,,,11.4,11.5
1983-09-30,5,9.3,,,,10.8,,,11.5,11.7
1983-12-31,1,8.9,,,,11.0,,,,11.7
1983-12-31,2,9.0,,,,10.9,,,,11.6
1983-12-31,3,9.1,,,,11.0,,,,11.5
1983-12-31,4,9.350000000000001,,,,11.2,,,,11.8
1983-12-31,5,9.5,,,,11.4,,,,12.0
1984-03-31,1,9.6,,,,11.5,,,,12.5
1984-03-31,2,9.649999999999999,,,,11.6,,,,12.4
1984-03-31,3,9.8,,,,11.7,,,,12.4
1984-03-31,4,10.1,,,,11.9,,,,12.5
1984-03-31,5,10.2,,,,12.0,,,,12.7
1984-06-30,1,10.350000000000001,,,,13.0,,,,13.5
1984-06-30,2,10.8,,,,13.2,,,,13.7
1984-06-30,3,11.0,,,,13.3,,,,13.8
1984-06-30,4,11.2,,,,13.2,,,,13.8
1984-06-30,5,11.05,,,,13.0,,,,13.6
1984-09-30,1,10.5,,,,12.3,,,,12.4
1984-09-30,2,10.850000000000001,,,,12.6,,,,12.8
1984-09-30,3,11.1,,,,12.850000000000001,,,,13.0
1984-09-30,4,11.350000000000001,,,,12.8,,,,13.0
1984-09-30,5,10.850000000000001,,,,12.5,,,,12.55
