,pop,consnond,consserv,qnond,qserv,pinond,piserv
1947-03-31,,74.9,60.7,21.226,10.889,16.217,8.389
1947-06-30,,76.9,61.9,21.59,11.047,16.375,8.435
1947-09-30,,78.6,63.2,21.69,11.023,16.671,8.637
1947-12-31,,80.0,64.3,21.406,10.965,17.175,8.832
1948-03-31,,81.5,65.4,21.476,11.083,17.457,8.884
1948-06-30,,83.2,67.1,21.687,11.256,17.632,8.971
1948-09-30,,83.5,68.5,21.555,11.316,17.803,9.106
1948-12-31,,83.7,69.4,21.837,11.43,17.619,9.14
1949-03-31,,82.7,69.8,21.921,11.502,17.35,9.133
1949-06-30,,81.9,70.3,21.982,11.56,17.127,9.152
1949-09-30,,80.3,70.4,21.79,11.536,16.932,9.182
1949-12-31,,80.9,71.1,22.147,11.57,16.804,9.248
1950-03-31,,81.5,72.3,22.43,11.713,16.698,9.287
1950-06-30,,82.8,74.4,22.691,12.01,16.775,9.322
1950-09-30,,86.6,76.7,23.083,12.195,17.256,9.464
1950-12-31,,86.7,78.1,22.57,12.272,17.652,9.586
1951-03-31,,92.0,81.8,22.984,12.607,18.397,9.761
1951-06-30,,91.4,82.9,22.648,12.692,18.564,9.832
1951-09-30,,93.2,84.4,23.124,12.851,18.524,9.885
1951-12-31,,95.5,85.9,23.396,12.883,18.758,10.035
1952-03-31,156522.33333333334,94.8,87.6,23.202,13.042,18.777,10.105
1952-06-30,157142.0,96.6,89.6,23.742,13.246,18.707,10.185
1952-09-30,157801.33333333334,98.5,91.8,24.159,13.421,18.74,10.293
1952-12-31,158504.66666666666,100.3,93.8,24.514,13.612,18.817,10.373
1953-03-31,159164.0,100.5,95.8,24.666,13.752,18.736,10.482
1953-06-30,159752.33333333334,100.6,97.6,24.779,13.916,18.657,10.562
1953-09-30,160450.33333333334,99.8,99.5,24.552,14.0,18.696,10.7
1953-12-31,161218.0,100.0,99.8,24.588,13.897,18.69,10.806
1954-03-31,161908.66666666666,101.3,101.3,24.825,14.026,18.752,10.868
1954-06-30,162568.0,101.3,103.2,24.759,14.269,18.814,10.889
1954-09-30,163295.33333333334,102.2,105.2,25.072,14.517,18.739,10.908
1954-12-31,164101.0,103.4,106.9,25.494,14.692,18.652,10.956
1955-03-31,164805.0,104.5,108.8,25.759,14.865,18.651,11.019
1955-06-30,165469.66666666666,106.1,110.0,26.234,14.973,18.598,11.059
1955-09-30,166198.66666666666,106.9,111.7,26.41,15.127,18.616,11.113
1955-12-31,167016.0,109.0,114.6,26.947,15.428,18.605,11.18
1956-03-31,167745.33333333334,110.5,116.4,27.251,15.576,18.649,11.245
1956-06-30,168438.66666666666,111.3,118.2,27.183,15.725,18.823,11.311
1956-09-30,169194.0,112.4,120.4,27.201,15.89,19.003,11.405
1956-12-31,170052.66666666666,113.7,122.7,27.419,16.097,19.061,11.476
1957-03-31,170802.0,115.4,124.3,27.585,16.159,19.237,11.58
1957-06-30,171504.33333333334,116.5,126.0,27.689,16.297,19.341,11.634
1957-09-30,172259.66666666666,119.4,128.0,28.073,16.416,19.547,11.733
1957-12-31,173061.33333333334,119.1,130.3,27.89,16.593,19.625,11.818
1958-03-31,173741.33333333334,119.9,131.1,27.638,16.573,19.938,11.903
1958-06-30,174404.0,121.2,133.4,27.889,16.814,19.976,11.944
1958-09-30,175146.0,123.0,135.9,28.399,17.043,19.915,12.001
