,SVENY01,SVENY02,SVENY03,SVENY04,SVENY05,SVENY06,SVENY07,SVENY08,SVENY09,SVENY10,SVENY11,SVENY12,SVENY13,SVENY14,SVENY15,SVENPY01,SVENPY02,SVENPY03,SVENPY04,SVENPY05,SVENPY06,SVENPY07,SVENPY08,SVENPY09,SVENPY10,SVENPY11,SVENPY12,SVENPY13,SVENPY14,SVENPY15,SVENPY16,SVENPY17,SVENPY18,SVENPY19,SVENPY20,SVENPY21,SVENPY22,SVENPY23,SVENPY24,SVENPY25,SVENPY26,SVENPY27,SVENPY28,SVENPY29,SVENPY30,TIPSY05,TIPSY06,TIPSY07,TIPSY08,TIPSY09,TIPSY10,TIPSY11,TIPSY12,TIPSY13,TIPSY14,TIPSY15,TIPSY16,TIPSY17,TIPSY18,TIPSY19,TIPSY20,TRNPM01,TRNPM03,TRNPM06,TRNPY01,TRNPY02,TRNPY03,TRNPY05,TRNPY07,TRNPY10,TRNPY20,TRNPY30,TRRPY05,TRRPY07,TRRPY10,TRRPY20,TRRPY30
1952-06-30,1.949,2.053,2.133,2.192,2.237,2.275,2.312,2.348,2.385,2.424,2.464,2.505,2.545,2.581,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-07-31,2.013,2.128,2.217,2.279,2.323,2.359,2.391,2.42,2.447,2.474,2.501,2.529,2.556,2.582,2.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-08-31,2.086,2.21,2.301,2.365,2.411,2.447,2.478,2.507,2.534,2.561,2.587,2.614,2.642,2.669,2.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-09-30,2.042,2.168,2.268,2.353,2.427,2.495,2.555,2.61,2.66,2.703,2.74,2.771,2.796,2.814,2.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-10-31,2.006,2.126,2.216,2.284,2.339,2.387,2.43,2.469,2.506,2.542,2.575,2.606,2.635,2.661,2.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-11-30,2.134,2.213,2.271,2.314,2.351,2.386,2.419,2.453,2.487,2.522,2.558,2.595,2.629,2.662,2.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-12-31,2.163,2.242,2.3,2.343,2.379,2.412,2.446,2.482,2.519,2.559,2.601,2.643,2.685,2.725,2.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-01-31,2.093,2.183,2.261,2.332,2.398,2.46,2.516,2.568,2.615,2.657,2.694,2.726,2.755,2.78,2.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-02-28,2.215,2.259,2.311,2.374,2.44,2.506,2.569,2.627,2.681,2.73,2.773,2.81,2.843,2.872,2.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-03-31,2.132,2.239,2.333,2.413,2.484,2.549,2.608,2.663,2.713,2.759,2.799,2.836,2.869,2.898,2.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-04-30,2.459,2.55,2.626,2.696,2.761,2.82,2.875,2.924,2.967,3.003,3.033,3.055,3.073,3.087,3.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-05-31,2.633,2.791,2.912,3.009,3.087,3.153,3.207,3.25,3.284,3.307,3.32,3.322,3.317,3.307,3.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-06-30,2.334,2.482,2.594,2.686,2.763,2.83,2.887,2.936,2.977,3.008,3.03,3.043,3.051,3.054,3.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-07-31,2.306,2.451,2.569,2.665,2.744,2.811,2.869,2.918,2.959,2.99,3.013,3.028,3.039,3.047,3.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-08-31,2.209,2.452,2.637,2.766,2.858,2.929,2.984,3.029,3.064,3.091,3.108,3.12,3.127,3.131,3.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-09-30,1.946,2.179,2.336,2.431,2.489,2.531,2.564,2.594,2.621,2.648,2.675,2.704,2.734,2.765,2.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-10-31,1.696,1.99,2.2,2.34,2.435,2.507,2.566,2.617,2.663,2.706,2.745,2.782,2.817,2.849,2.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-11-30,1.755,1.984,2.164,2.299,2.405,2.494,2.571,2.639,2.7,2.753,2.801,2.844,2.883,2.917,2.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-12-31,1.665,1.878,2.03,2.131,2.208,2.272,2.329,2.382,2.434,2.483,2.532,2.578,2.623,2.666,2.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954-01-31,1.193,1.53,1.781,1.954,2.087,2.195,2.287,2.365,2.433,2.49,2.541,2.586,2.626,2.662,2.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954-02-28,1.119,1.341,1.563,1.781,1.978,2.145,2.276,2.369,2.43,2.468,2.492,2.507,2.517,2.525,2.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954-03-31,1.136,1.339,1.545,1.748,1.932,2.089,2.215,2.309,2.375,2.422,2.457,2.483,2.504,2.522,2.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954-04-30,0.986,1.228,1.417,1.595,1.77,1.931,2.072,2.187,2.276,2.341,2.391,2.429,2.46,2.485,2.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
