year,quarter,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1983,1,prime,fed_rate,tbill_3m,compap_3m,tnote_2y,tnote_5y,tnote_10y,tbond_30y,MunBond20,a_util,home_mort,,,,
1983,2,prime,fed_rate,compap_1m,tbill_3m,tnote_3y,tnote_10y,tbond_30y,MunBond20,a_util,home_mort,,,,,
1983,3,prime,fed_rate,compap_1m,tbill_3m,tnote_3y,tnote_10y,tbond_30y,MunBond20,a_util,home_mort,,,,,
1983,4,prime,fed_rate,compap_1m,tbill_3m,tnote_3y,tnote_10y,tbond_30y,MunBond20,a_util,home_mort,,,,,
1984,1,prime,fed_rate,compap_1m,tbill_3m,tnote_3y,tbond_30y,MunBond20,corp_AAA,a_util,home_mort,,,,,
1984,2,prime,fed_rate,compap_1m,tbill_3m,tnote_3y,tbond_30y,MunBond20,corp_AAA,a_util,home_mort,,,,,
1984,3,prime,fed_rate,compap_1m,tbill_3m,tnote_3y,tbond_30y,MunBond20,corp_AAA,a_util,home_mort,,,,,
1984,4,prime,fed_rate,compap_1m,tbill_3m,tnote_3y,tbond_30y,MunBond20,corp_AAA,a_util,home_mort,,,,,
1985,1,prime,fed_rate,compap_1m,tbill_3m,tnote_3y,tbond_30y,MunBond20,corp_AAA,a_util,home_mort,,,,,
1985,2,prime,fed_rate,compap_1m,tbill_3m,tnote_3y,tbond_30y,MunBond20,corp_AAA,a_util,home_mort,,,,,
1985,3,prime,fed_rate,compap_1m,tbill_3m,tnote_3y,tbond_30y,MunBond20,corp_AAA,a_util,home_mort,,,,,
1985,4,prime,fed_rate,compap_1m,tbill_3m,tnote_3y,tbond_30y,MunBond20,corp_AAA,a_util,home_mort,,,,,
1986,1,prime,fed_rate,compap_1m,tbill_3m,tnote_3y,tbond_30y,MunBond20,corp_AAA,a_util,home_mort,,,,,
1986,2,prime,fed_rate,compap_1m,tbill_3m,tnote_3y,tbond_30y,MunBond20,corp_AAA,a_util,home_mort,,,,,
1986,3,prime,fed_rate,compap_1m,tbill_3m,tnote_3y,tbond_30y,MunBond20,corp_AAA,a_util,home_mort,,,,,
1986,4,prime,fed_rate,compap_1m,tbill_3m,tnote_3y,tbond_30y,MunBond20,corp_AAA,a_util,home_mort,,,,,
1987,1,prime,fed_rate,compap_1m,tbill_3m,tnote_3y,tbond_30y,MunBond20,corp_AAA,a_util,home_mort,,,,,
1987,2,prime,fed_rate,compap_1m,tbill_3m,tnote_3y,tbond_30y,MunBond20,corp_AAA,a_util,home_mort,,,,,
1987,3,prime,fed_rate,compap_1m,tbill_3m,tnote_3y,tbond_30y,MunBond20,corp_AAA,a_util,home_mort,,,,,
1987,4,prime,fed_rate,compap_1m,tbill_3m,tnote_3y,tbond_30y,MunBond20,corp_AAA,a_util,home_mort,,,,,
1988,1,prime,libor_3m,fed_rate,compap_1m,tbill_3m,tbill_6m,tbill_1y,tnote_3y,tnote_5y,tnote_7y,tnote_10y,tbond_30y,corp_AAA,a_util,home_mort
1988,2,prime,libor_3m,fed_rate,compap_1m,tbill_3m,tbill_6m,tbill_1y,tnote_2y,tnote_5y,tnote_7y,tnote_10y,tbond_30y,corp_AAA,a_util,home_mort
1988,3,prime,libor_3m,fed_rate,compap_1m,tbill_3m,tbill_6m,tbill_1y,tnote_2y,tnote_5y,tnote_7y,tnote_10y,tbond_30y,corp_AAA,a_util,home_mort
1988,4,prime,libor_3m,fed_rate,compap_1m,tbill_3m,tbill_6m,tbill_1y,tnote_2y,tnote_5y,tnote_7y,tnote_10y,tbond_30y,corp_AAA,a_util,home_mort
1989,1,prime,libor_3m,fed_rate,compap_1m,tbill_3m,tbill_6m,tbill_1y,tnote_2y,tnote_5y,tnote_7y,tnote_10y,tbond_30y,corp_AAA,a_util,home_mort
1989,2,prime,libor_3m,fed_rate,compap_1m,tbill_3m,tbill_6m,tbill_1y,tnote_2y,tnote_5y,tnote_7y,tnote_10y,tbond_30y,corp_AAA,a_util,home_mort
1989,3,prime,libor_3m,fed_rate,compap_1m,tbill_3m,tbill_6m,tbill_1y,tnote_2y,tnote_5y,tnote_7y,tnote_10y,tbond_30y,corp_AAA,a_util,home_mort
1989,4,prime,libor_3m,fed_rate,compap_1m,tbill_3m,tbill_6m,tbill_1y,tnote_2y,tnote_5y,tnote_7y,tnote_10y,tbond_30y,corp_AAA,a_util,home_mort
1990,1,prime,libor_3m,fed_rate,compap_1m,tbill_3m,tbill_6m,tbill_1y,tnote_2y,tnote_5y,tnote_7y,tnote_10y,tbond_30y,corp_AAA,a_util,home_mort
1990,2,prime,libor_3m,fed_rate,compap_1m,tbill_3m,tbill_6m,tbill_1y,tnote_2y,tnote_5y,tnote_7y,tnote_10y,tbond_30y,corp_AAA,a_util,home_mort
1990,3,prime,libor_3m,fed_rate,compap_1m,tbill_3m,tbill_6m,tbill_1y,tnote_2y,tnote_5y,tnote_7y,tnote_10y,tbond_30y,corp_AAA,a_util,home_mort
1990,4,prime,libor_3m,fed_rate,compap_1m,tbill_3m,tbill_6m,tbill_1y,tnote_2y,tnote_5y,tnote_7y,tnote_10y,tbond_30y,corp_AAA,a_util,home_mort
1991,1,prime,libor_3m,fed_rate,compap_1m,tbill_3m,tbill_6m,tbill_1y,tnote_2y,tnote_5y,tnote_7y,tnote_10y,tbond_30y,corp_AAA,a_util,home_mort
1991,2,prime,libor_3m,fed_rate,compap_1m,tbill_3m,tbill_6m,tbill_1y,tnote_2y,tnote_5y,tnote_7y,tnote_10y,tbond_30y,corp_AAA,a_util,home_mort
1991,3,prime,libor_3m,fed_rate,compap_1m,tbill_3m,tbill_6m,tbill_1y,tnote_2y,tnote_5y,tnote_7y,tnote_10y,tbond_30y,corp_AAA,a_util,home_mort
1991,4,prime,libor_3m,fed_rate,compap_1m,tbill_3m,tbill_6m,tbill_1y,tnote_2y,tnote_5y,tnote_7y,tnote_10y,tbond_30y,corp_AAA,a_util,home_mort
